reward_today,future_reward,delay,key_resp.keys,key_resp.rt,K,,
89,92,69,t,0.5705556,0.00048852,,
26,30,87,t,1.6940106,0.001768347,,0.006586023
61,80,26,l,1.1056081,0.011979823,,
2,40,24,t,1.4523225,0.791666667,,
78,80,162,t,0.9138194,0.000158278,,
17,50,79,l,0.0671364,0.024571854,,
78,90,1,t,0.5641644,0.153846154,,
29,40,56,t,1.0483337,0.006773399,,
67,70,12,t,0.5802743,0.003731343,,
78,81,87,t,0.8318964,0.000442087,,
15,35,43,t,0.8667447,0.031007752,,
9,70,23,t,1.2586654,0.29468599,,
89,92,29,t,2.9826284,0.00116234,,
34,40,19,l,0.5139254,0.009287926,,
89,93,35,t,0.9604692,0.001284109,,
36,56,12,l,0.8083991,0.046296296,,
66,71,78,l,1.0637168,0.000971251,,
11,20,176,t,0.5399291,0.00464876,,
92,98,12,t,0.8767423,0.005434783,,
34,50,78,l,0.5655875,0.006033183,,
69,74,5,l,0.8538086,0.014492754,,
87,92,156,l,1.3824364,0.000368406,,
76,80,56,t,0.965498,0.00093985,,
38,54,12,l,0.7078561,0.035087719,,
79,82,55,t,6.2159443,0.000690449,,
11,30,7,l,1.775071,0.246753247,,
22,23,78,l,0.5485264,0.000582751,,
65,72,64,l,0.7028521,0.001682692,,
1,78,59,l,1.9631373,1.305084746,,
38,40,39,t,0.6539797,0.001349528,,
18,40,11,l,1.1448072,0.111111111,,
29,68,87,t,0.8355744,0.015457788,,
15,35,13,t,0.5725186,0.102564103,,
87,95,39,t,1.4081057,0.002357795,,
54,67,44,t,1.2555232,0.00547138,,
13,78,87,t,0.7521592,0.057471264,,
11,40,5,l,0.8872664,0.527272727,,
1,20,99,t,0.8254474,0.191919192,,
8,48,36,l,1.0991534,0.138888889,,
87,90,45,t,1.2923797,0.000766284,,
44,78,1,t,0.663448,0.772727273,,
48,54,36,t,1.6458238,0.003472222,,
58,70,66,l,0.6025933,0.003134796,,
45,54,86,t,0.7002511,0.002325581,,
96,98,36,l,1.0200729,0.000578704,,
24,40,122,t,0.3881079,0.005464481,,
5,50,26,t,0.7656281,0.346153846,,
23,43,54,t,0.8876085,0.01610306,,
91,98,146,l,0.3342029,0.00052687,,
24,70,78,l,2.3107836,0.02457265,,
90,93,56,t,0.6062592,0.000595238,,
79,92,12,t,1.0594795,0.01371308,,
65,80,1,t,0.7246054,0.230769231,,
9,94,78,l,0.91043,0.121082621,,
75,80,184,t,0.8307385,0.000362319,,
49,60,89,t,0.9500104,0.002522357,,
35,70,128,l,0.7024477,0.0078125,,
22,59,29,l,0.7018031,0.05799373,,
56,75,29,t,0.9837241,0.011699507,,
89,90,76,t,0.9513164,0.000147842,,
83,89,9,t,0.8707577,0.008032129,,
15,29,89,l,1.1666054,0.010486891,,
45,50,36,l,0.7119923,0.00308642,,
34,38,1,t,0.9953972,0.117647059,,
86,92,9,l,1.8080805,0.007751938,,
40,55,62,t,0.5928974,0.006048387,,
85,98,13,t,0.6443477,0.011764706,,
76,80,65,l,0.9144701,0.000809717,,
67,75,119,t,0.3508281,0.001003386,,
36,39,13,l,0.7534262,0.006410256,,
27,50,21,t,0.9355994,0.040564374,,
55,77,11,t,0.5950347,0.036363636,,
26,76,24,l,1.2585735,0.080128205,,
39,56,21,l,0.7856618,0.020757021,,
22,76,19,t,0.6902462,0.129186603,,
19,40,56,t,0.5815341,0.019736842,,
59,69,167,l,1.7792862,0.001014919,,
90,92,45,l,2.7479927,0.000493827,,
12,30,139,t,1.2132135,0.010791367,,
64,75,56,l,1.1519012,0.003069196,,
3,40,189,l,1.1474249,0.065255732,,
77,91,23,t,0.7531364,0.007905138,,
38,40,44,t,1.2681037,0.001196172,,
15,20,86,l,0.8817125,0.003875969,,
43,98,189,l,1.3513269,0.006767565,,
19,68,167,l,0.4842218,0.015442799,,
89,92,167,l,0.4953528,0.000201844,,
80,90,25,l,0.8174893,0.005,,
56,62,55,l,1.2864676,0.001948052,,
52,62,52,t,0.5615519,0.003698225,,
91,98,15,t,0.4979648,0.005128205,,
55,78,44,l,1.4005278,0.009504132,,
44,58,36,t,0.6368249,0.008838384,,
36,50,1,l,0.9599315,0.388888889,,
76,78,12,t,0.9033605,0.002192982,,
78,96,59,l,0.9063594,0.003911343,,
25,80,72,t,0.5933529,0.030555556,,
66,69,87,l,0.9337578,0.000522466,,
92,98,13,l,0.5298068,0.005016722,,
45,80,45,t,0.7165095,0.017283951,,
